strike,last_price
75,112.6
80,102.55
90,93.02
95,87.97
110,80
125,65.3
130,63.42
135,59.56
140,54.25
145,50.13
150,44.91
155,39.2
157.5,32.72
160,36.23
162.5,25.16
165,30.72
167.5,15.95
170,24.2
172.5,21.89
175,19.36
177.5,16.75
180,14.5
182.5,12.19
185,10.19
187.5,8.03
190,6.25
192.5,4.7
195,3.37
197.5,2.25
200,1.4
202.5,0.82
205,0.46
207.5,0.25
210,0.13
212.5,0.07
215,0.04
217.5,0.02
220,0.01
225,0.01
230,0.01
235,0.01
240,0.01
245,0.03
250,0.01
255,0.02
265,0.01