strike,bid,ask,last price
100,363.6,365.32,0
110,353.6,355.32,0
120,343.6,345.32,0
130,333.61,335.31,0
140,323.62,325.32,0
150,313.64,315.34,0
160,303.66,305.35,0
170,293.68,295.37,0
180,283.71,285.4,0
190,273.74,275.43,0
200,263.78,265.46,0
210,253.82,255.5,0
220,243.87,245.55,0
230,234.31,235.6,0
235,229.35,230.6,0
240,224.39,225.64,0
245,219.44,220.68,0
250,214.49,215.7,0
255,209.53,210.77,0
260,204.58,205.82,0
265,199.64,200.87,0
270,194.7,195.93,0
275,189.76,190.98,0
280,185.01,186.04,0
285,180.11,181.1,0
290,175.18,176.17,175.76
295,170.26,171.25,0
300,165.37,166.33,159.5
305,160.44,161.43,0
310,155.54,156.53,0
315,150.65,151.63,150
320,145.76,146.75,145.69
325,140.89,141.88,145.81
330,136.02,137.02,132.75
335,131.17,132.17,135.9
340,126.36,127.34,131.28
345,121.53,122.52,0
350,116.73,117.72,121.4
355,111.94,112.94,117.03
360,107.17,108.18,119.3
365,102.42,103.44,107.93
370,97.7,98.73,101.52
375,93.01,94.06,100.01
380,88.35,89.41,101.12
385,83.73,84.8,83.71
390,79.14,80.24,75.2
395,74.63,75.71,77.85
400,70.14,71.24,70.9
405,65.7,66.81,70.65
410,61.35,62.44,66.67
415,57.1,58.14,61.98
416,56.28,57.28,63
418,54.6,55.58,67.47
420,52.88,53.9,56.56
422,51.24,52.22,62.64
423,50.44,51.38,49.1
424,49.6,50.55,60.33
425,48.8,49.72,52.23
426,47.96,48.9,48.1
427,47.14,48.08,51.78
428,46.33,47.26,55.9
429,45.53,46.44,51.85
430,44.75,45.63,46.06
431,43.95,44.82,56.7
432,43.13,44.02,54.9
433,42.34,43.22,49.46
434,41.54,42.42,53.24
435,40.78,41.62,47
436,39.96,40.83,43.33
437,39.18,40.05,51.86
438,38.44,39.26,40.54
439,37.67,38.48,34.22
440,36.87,37.71,38.49
441,36.11,36.94,33.74
442,35.38,36.17,32.01
443,34.61,35.41,37.4
444,33.88,34.63,38.85
445,33.13,33.87,33.42
446,32.39,33.13,31.77
447,31.66,32.39,41.63
448,30.92,31.65,28.3
449,30.2,30.91,34.47
450,29.47,30.19,29.35
451,28.76,29.46,30.06
452,28.18,28.44,32.53
453,27.47,27.73,34.5
454,26.77,27.02,28.74
455,26.15,26.26,26.34
456,25.46,25.57,25.62
457,24.77,24.88,26.21
458,24.1,24.2,24.22
459,23.41,23.52,23.58
460,22.75,22.85,23.55
461,22.12,22.18,23.44
462,21.47,21.52,22.75
463,20.81,20.87,24.52
464,20.18,20.23,20.01
465,19.53,19.59,19.26
466,18.9,18.96,18.68
467,18.28,18.34,18.32
468,17.67,17.72,17.85
469,17.06,17.12,17.18
470,16.46,16.52,16.09
471,15.87,15.93,15.85
472,15.29,15.35,15.05
473,14.72,14.78,15.4
474,14.16,14.22,14
475,13.61,13.67,13.56
476,13.07,13.13,13
477,12.54,12.6,13.1
478,12.03,12.09,12.47
479,11.52,11.58,11.86
480,11.03,11.08,11.1
481,10.55,10.6,12.25
482,10.08,10.13,10
483,9.62,9.67,11.92
484,9.18,9.23,10.35
485,8.75,8.8,8.71
486,8.33,8.38,8.36
487,7.92,7.98,6.58
488,7.53,7.58,7.94
489,7.16,7.21,7.35
490,6.79,6.84,6.6
491,6.44,6.49,7.88
492,6.1,6.15,6.13
493,5.78,5.83,5.8
494,5.47,5.52,6.82
495,5.17,5.22,6.46
496,4.89,4.94,6.61
497,4.62,4.66,5.85
498,4.36,4.4,5.62
499,4.11,4.16,5.69
500,3.88,3.92,3.92
501,3.66,3.7,4.23
502,3.45,3.49,2.9
503,3.25,3.29,4.52
504,3.06,3.1,4.31
505,2.88,2.92,2.96
506,2.72,2.75,3.69
507,2.56,2.59,2.93
508,2.41,2.44,2.38
509,2.27,2.3,2.05
510,2.14,2.17,2.12
511,2.01,2.04,2.5
512,1.9,1.93,2.14
513,1.79,1.82,2.54
514,1.68,1.71,1.75
515,1.59,1.61,1.77
516,1.49,1.52,1.69
517,1.41,1.43,1.55
518,1.33,1.35,1.24
519,1.25,1.28,1.42
520,1.18,1.2,1.3
521,1.11,1.13,1.25
522,1.05,1.07,1.4
523,0.99,1.01,1.37
524,0.93,0.95,1.18
525,0.87,0.9,0.86
526,0.82,0.84,0.89
527,0.77,0.79,1.04
528,0.73,0.75,0.73
529,0.69,0.7,0.84
530,0.64,0.66,0.83
531,0.61,0.62,0.82
532,0.57,0.59,0.8
533,0.53,0.55,0.5
534,0.5,0.52,0.7
535,0.47,0.49,0.54
536,0.44,0.46,1.2
537,0.42,0.43,0.51
538,0.39,0.41,0.48
539,0.37,0.38,0.53
540,0.35,0.36,0.35
541,0.33,0.34,0.46
542,0.31,0.32,0.3
543,0.29,0.3,1.05
544,0.28,0.29,0.36
545,0.26,0.27,0.3
546,0.25,0.26,0.23
547,0.23,0.24,0.83
548,0.22,0.23,0.5
549,0.21,0.22,0.32
550,0.2,0.21,0.21
551,0.19,0.2,0.27
555,0.16,0.17,0.16
560,0.13,0.14,0.16
565,0.1,0.12,0.11
570,0.09,0.1,0.11
575,0.07,0.09,0.09
580,0.07,0.08,0.08
585,0.06,0.07,0.07
590,0.05,0.06,0.06
600,0.03,0.05,0.05
620,0.02,0.03,0.03
640,0.01,0.02,0.02