strike,bid,ask
300,127.96,128.99
305,122.98,124
310,117.99,119.02
315,113,114.03
320,97.17,97.57
325,103.03,104.06
330,98.05,99.07
335,93.07,94.09
337,66.04,67
339,70.34,71.43
340,88.08,89.11
341,66.35,67.86
342,73.37,74.13
343,85.09,86.12
344,69.07,69.81
345,83.1,84.12
346,67.69,68.4
347,68.57,69.32
348,80.11,81.13
349,66.66,67.4
350,78.12,79.14
351,48.99,49.89
352,76.13,77.15
353,59.94,60.74
354,74.14,75.16
355,73.15,74.16
356,72.15,73.17
357,59.07,59.77
358,70.16,71.18
359,50.3,50.99
360,68.17,69.18
361,58.89,59.66
362,57.58,57.95
363,65.19,66.2
364,53.71,54.38
365,63.2,64.21
366,62.21,63.22
367,61.21,62.22
368,60.22,61.23
369,51.13,51.88
370,58.24,59.24
371,57.24,58.25
372,56.25,57.25
373,55.26,56.26
374,54.27,55.27
375,53.28,54.27
376,52.29,53.28
377,51.3,52.29
378,50.31,51.3
379,49.32,50.31
380,48.33,49.32
381,47.34,48.33
382,46.35,47.34
383,45.37,46.35
384,44.38,45.36
385,43.4,44.38
386,42.42,43.39
387,41.43,42.4
388,40.45,41.42
389,39.47,40.44
390,38.49,39.45
391,37.51,38.47
392,36.54,37.49
393,35.56,36.51
394,34.59,35.54
395,33.62,34.56
396,32.65,33.59
397,31.68,32.61
398,30.72,31.64
399,29.76,30.67
400,28.8,29.71
401,27.84,28.74
402,26.89,27.78
403,25.94,26.82
404,25,25.87
405,24.06,24.92
406,23.12,23.97
407,22.19,23.03
408,21.26,22.09
409,20.34,21.15
410,19.43,20.23
411,18.53,19.3
412,17.63,18.4
413,16.75,17.5
414,15.87,16.59
415,15,15.7
416,14.24,14.83
417,13.4,13.95
418,12.57,13.1
419,11.88,12.15
420,11.05,11.36
421,10.19,10.56
422,9.44,9.85
423,8.7,9.1
424,7.99,8.29
425,7.31,7.56
426,6.75,6.85
427,6.12,6.22
428,5.53,5.62
429,4.97,5.04
430,4.45,4.52
432,3.53,3.58
434,2.75,2.8
435,2.42,2.46
436,2.12,2.15
438,1.62,1.64
440,1.23,1.24
442,0.92,0.94
444,0.7,0.71
445,0.6,0.62
446,0.52,0.54
448,0.39,0.41
450,0.3,0.31
452,0.23,0.25
454,0.18,0.19
455,0.16,0.17
456,0.14,0.15
458,0.11,0.12
460,0.09,0.1
462,0.07,0.08
464,0.06,0.07
465,0.05,0.07
470,0.03,0.04
475,0.02,0.03
480,0,0.02
485,0,0.02
490,0,0.02
495,0,0.01
500,0,0.01
505,0,0.01
510,0,0.01
515,0,0.01
520,0,0.01
525,0,0.01
530,0,0.02
535,0,0.03
540,0,0.04
545,0,0.01