strike,last_price,bid,ask
15,15.45,19.7,23.05
18,14.35,17.5,21.8
20,13.75,15.05,18.7
23,10.1,12.65,16.3
25,11.1,12.5,14.7
27,9.77,9.95,13.1
30,10,8.9,11.25
32,8.9,7.45,10.2
35,8,5.65,8.45
37,6.8,5.3,7.3
40,4.8,2.93,5.9
42,4.1,4,5.05
45,3.35,3,3.25
47,2.62,1.28,3.3
50,1.85,0.5,1.98
52.5,1,0.15,1.5
55,0.86,0.23,0.87
57.5,0.3,0.01,0.5
60,0.3,0.25,2.4
65,0.15,0.01,0.56
70,0.25,0,0.18
75,0.06,0.01,0.44
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,